mission,koi_id,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler, 5649215,170.669510,2.446737,0.196712,0
Kepler, 5651104,169.949011,3.040330,0.076713,1
Kepler, 5792202,174.002780,15.335287,0.162375,1
Kepler, 10875245,137.802190,7.958253,0.182375,1
Kepler, 5792202,153.430310,31.330461,0.215667,1
Kepler, 5370302,173.393734,3.904342,0.159625,0
Kepler, 5372966,171.821469,9.286358,0.145812,0
Kepler, 5376067,173.276125,3.951405,0.091092,0
Kepler, 5436502,171.376107,23.653694,0.342429,1
Kepler, 5436502,140.321960,13.233522,0.280717,1
Kepler, 5436502,134.816560,6.155603,0.207679,1
Kepler, 5436502,134.174620,2.090811,0.141167,1
Kepler, 10875245,133.498630,3.180028,0.149154,1
Kepler, 5436502,178.501400,50.446742,0.298292,1
Kepler, 5456651,180.936130,11.763072,0.121150,1
Kepler, 5456651,132.292590,56.227927,0.148750,1
Kepler, 5481416,171.583620,2.384053,0.128825,0
Kepler, 5531576,174.662240,7.953547,0.109633,1
Kepler, 5531576,135.928310,4.144517,0.097587,1
Kepler, 5534814,173.011469,4.859386,0.094821,0
Kepler, 6291653,176.522462,10.526295,0.105046,1
Kepler, 6392727,169.973972,4.583521,0.112729,1
Kepler, 6422070,171.903640,3.761818,0.146567,1
Kepler, 6428700,169.691380,8.203970,0.123613,1
Kepler, 6428700,143.416590,14.496452,0.167333,1
Kepler, 5794379,175.355260,12.718099,0.128988,1
Kepler, 5794379,198.584230,36.065882,0.180192,1
Kepler, 5881688,171.441220,4.190426,0.119121,1
Kepler, 6022556,171.987982,3.709871,0.127892,1
Kepler, 6032497,177.295060,16.329753,0.261292,1
Kepler, 6061119,186.713552,27.807566,0.175661,1
Kepler, 6191521,203.895000,80.872347,0.466458,1
Kepler, 6267425,172.002627,3.166466,0.122421,0
Kepler, 3531558,138.681670,24.993243,0.247537,1
Kepler, 6276477,170.937290,10.355331,0.132396,1
Kepler, 6863998,180.283190,16.085189,0.166000,1
Kepler, 6948054,174.950370,7.490183,0.113737,1
Kepler, 6948054,201.286900,36.276124,0.199438,1
Kepler, 6948054,137.265940,17.460879,0.094338,1
Kepler, 6435936,201.165780,56.056075,0.195208,1
Kepler, 6522242,195.787450,41.408317,0.209433,1
Kepler, 6587280,174.879310,5.715426,0.105175,1
Kepler, 9471974,141.911924,49.183942,0.472350,1
Kepler, 6587280,146.911090,20.026141,0.067125,1
Kepler, 6675056,175.404600,10.443320,0.114292,0
Kepler, 6685526,170.819140,2.237490,0.075496,1
Kepler, 6756669,173.822834,5.851521,0.129608,0
